Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/19/2021 11:56:44.329 AM, 0.2857, DAQ Start
         2,   01/19/2021 11:56:44.333 AM, 0.2857
         3,   01/19/2021 11:56:44.337 AM, 0.2857
         4,   01/19/2021 11:56:44.341 AM, 0.2857
         5,   01/19/2021 11:56:44.345 AM, 0.2857
         6,   01/19/2021 11:56:44.349 AM, 0.2857
         7,   01/19/2021 11:56:44.353 AM, 0.2857
         8,   01/19/2021 11:56:44.357 AM, 0.2857
         9,   01/19/2021 11:56:44.361 AM, 0.2857
        10,   01/19/2021 11:56:44.365 AM, 0.2808
        11,   01/19/2021 11:56:44.369 AM, 0.2808
        12,   01/19/2021 11:56:44.373 AM, 0.2808
        13,   01/19/2021 11:56:44.377 AM, 0.2857
        14,   01/19/2021 11:56:44.381 AM, 0.2808
        15,   01/19/2021 11:56:44.385 AM, 0.2808
        16,   01/19/2021 11:56:44.389 AM, 0.2808
        17,   01/19/2021 11:56:44.393 AM, 0.2857
        18,   01/19/2021 11:56:44.397 AM, 0.2808
        19,   01/19/2021 11:56:44.401 AM, 0.2808
        20,   01/19/2021 11:56:44.405 AM, 0.2857
        21,   01/19/2021 11:56:44.409 AM, 0.2857
        22,   01/19/2021 11:56:44.413 AM, 0.2857
        23,   01/19/2021 11:56:44.417 AM, 0.2808
        24,   01/19/2021 11:56:44.421 AM, 0.2808
        25,   01/19/2021 11:56:44.425 AM, 0.2808
        26,   01/19/2021 11:56:44.429 AM, 0.2857
        27,   01/19/2021 11:56:44.433 AM, 0.2808
        28,   01/19/2021 11:56:44.437 AM, 0.2808
        29,   01/19/2021 11:56:44.441 AM, 0.2857
        30,   01/19/2021 11:56:44.445 AM, 0.2857
        31,   01/19/2021 11:56:44.449 AM, 0.2857
        32,   01/19/2021 11:56:44.453 AM, 0.2857
        33,   01/19/2021 11:56:44.457 AM, 0.2857
        34,   01/19/2021 11:56:44.461 AM, 0.2857
        35,   01/19/2021 11:56:44.465 AM, 0.2857
        36,   01/19/2021 11:56:44.469 AM, 0.2857
        37,   01/19/2021 11:56:44.473 AM, 0.2857
        38,   01/19/2021 11:56:44.477 AM, 0.2857
        39,   01/19/2021 11:56:44.481 AM, 0.2857
        40,   01/19/2021 11:56:44.485 AM, 0.2857
