Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/25/2021 04:07:08.267 PM, 0.2271, DAQ Start
         2,   01/25/2021 04:07:08.271 PM, 0.2271
         3,   01/25/2021 04:07:08.275 PM, 0.2271
         4,   01/25/2021 04:07:08.279 PM, 0.2320
         5,   01/25/2021 04:07:08.283 PM, 0.2271
         6,   01/25/2021 04:07:08.287 PM, 0.2271
         7,   01/25/2021 04:07:08.291 PM, 0.2271
         8,   01/25/2021 04:07:08.295 PM, 0.2271
         9,   01/25/2021 04:07:08.299 PM, 0.2271
        10,   01/25/2021 04:07:08.303 PM, 0.2271
        11,   01/25/2021 04:07:08.307 PM, 0.2271
        12,   01/25/2021 04:07:08.311 PM, 0.2271
        13,   01/25/2021 04:07:08.315 PM, 0.2271
        14,   01/25/2021 04:07:08.319 PM, 0.2271
        15,   01/25/2021 04:07:08.323 PM, 0.2271
        16,   01/25/2021 04:07:08.327 PM, 0.2271
        17,   01/25/2021 04:07:08.331 PM, 0.2271
        18,   01/25/2021 04:07:08.335 PM, 0.2271
        19,   01/25/2021 04:07:08.339 PM, 0.2271
        20,   01/25/2021 04:07:08.343 PM, 0.2271
        21,   01/25/2021 04:07:08.347 PM, 0.2271
        22,   01/25/2021 04:07:08.351 PM, 0.2271
        23,   01/25/2021 04:07:08.355 PM, 0.2271
        24,   01/25/2021 04:07:08.359 PM, 0.2271
        25,   01/25/2021 04:07:08.363 PM, 0.2271
        26,   01/25/2021 04:07:08.367 PM, 0.2271
        27,   01/25/2021 04:07:08.371 PM, 0.2271
        28,   01/25/2021 04:07:08.375 PM, 0.2271
        29,   01/25/2021 04:07:08.379 PM, 0.2271
        30,   01/25/2021 04:07:08.383 PM, 0.2271
        31,   01/25/2021 04:07:08.387 PM, 0.2369
        32,   01/25/2021 04:07:08.391 PM, 0.2271
        33,   01/25/2021 04:07:08.395 PM, 0.2271
        34,   01/25/2021 04:07:08.399 PM, 0.2271
        35,   01/25/2021 04:07:08.403 PM, 0.2271
        36,   01/25/2021 04:07:08.407 PM, 0.2320
        37,   01/25/2021 04:07:08.411 PM, 0.2271
        38,   01/25/2021 04:07:08.415 PM, 0.2271
        39,   01/25/2021 04:07:08.419 PM, 0.2271
        40,   01/25/2021 04:07:08.423 PM, 0.2271
