Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/21/2021 04:11:18.297 PM, 0.2271, DAQ Start
         2,   01/21/2021 04:11:18.301 PM, 0.2271
         3,   01/21/2021 04:11:18.305 PM, 0.2271
         4,   01/21/2021 04:11:18.309 PM, 0.2271
         5,   01/21/2021 04:11:18.313 PM, 0.2271
         6,   01/21/2021 04:11:18.317 PM, 0.2271
         7,   01/21/2021 04:11:18.321 PM, 0.2271
         8,   01/21/2021 04:11:18.325 PM, 0.2271
         9,   01/21/2021 04:11:18.329 PM, 0.2320
        10,   01/21/2021 04:11:18.333 PM, 0.2271
        11,   01/21/2021 04:11:18.337 PM, 0.2271
        12,   01/21/2021 04:11:18.341 PM, 0.2271
        13,   01/21/2021 04:11:18.345 PM, 0.2271
        14,   01/21/2021 04:11:18.349 PM, 0.2271
        15,   01/21/2021 04:11:18.353 PM, 0.2271
        16,   01/21/2021 04:11:18.357 PM, 0.2271
        17,   01/21/2021 04:11:18.361 PM, 0.2271
        18,   01/21/2021 04:11:18.365 PM, 0.2271
        19,   01/21/2021 04:11:18.369 PM, 0.2271
        20,   01/21/2021 04:11:18.373 PM, 0.2271
        21,   01/21/2021 04:11:18.377 PM, 0.2271
        22,   01/21/2021 04:11:18.381 PM, 0.2271
        23,   01/21/2021 04:11:18.385 PM, 0.2271
        24,   01/21/2021 04:11:18.389 PM, 0.2271
        25,   01/21/2021 04:11:18.393 PM, 0.2271
        26,   01/21/2021 04:11:18.397 PM, 0.2320
        27,   01/21/2021 04:11:18.401 PM, 0.2271
        28,   01/21/2021 04:11:18.405 PM, 0.2271
        29,   01/21/2021 04:11:18.409 PM, 0.2271
        30,   01/21/2021 04:11:18.413 PM, 0.2271
        31,   01/21/2021 04:11:18.417 PM, 0.2320
        32,   01/21/2021 04:11:18.421 PM, 0.2271
        33,   01/21/2021 04:11:18.425 PM, 0.2320
        34,   01/21/2021 04:11:18.429 PM, 0.2271
        35,   01/21/2021 04:11:18.433 PM, 0.2320
        36,   01/21/2021 04:11:18.437 PM, 0.2271
        37,   01/21/2021 04:11:18.441 PM, 0.2271
        38,   01/21/2021 04:11:18.445 PM, 0.2271
        39,   01/21/2021 04:11:18.449 PM, 0.2271
        40,   01/21/2021 04:11:18.453 PM, 0.2271
