Header Size:  7
Version:  2
Sampling Interval:  0.002
Sampling Rate:  500
Sample Count:  8700
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   02/05/2021 01:07:51.643 PM, 4.0293, DAQ Start
         2,   02/05/2021 01:07:51.645 PM, 4.0293
         3,   02/05/2021 01:07:51.647 PM, 4.0391
         4,   02/05/2021 01:07:51.649 PM, 4.0293
         5,   02/05/2021 01:07:51.651 PM, 4.0293
         6,   02/05/2021 01:07:51.653 PM, 4.0293
         7,   02/05/2021 01:07:51.655 PM, 4.0293
         8,   02/05/2021 01:07:51.657 PM, 4.0293
         9,   02/05/2021 01:07:51.659 PM, 4.0293
        10,   02/05/2021 01:07:51.661 PM, 4.0293
        11,   02/05/2021 01:07:51.663 PM, 4.0293
        12,   02/05/2021 01:07:51.665 PM, 4.0293
        13,   02/05/2021 01:07:51.667 PM, 4.0293
        14,   02/05/2021 01:07:51.669 PM, 4.0293
        15,   02/05/2021 01:07:51.671 PM, 4.0293
        16,   02/05/2021 01:07:51.673 PM, 4.0195
        17,   02/05/2021 01:07:51.675 PM, 4.0195
        18,   02/05/2021 01:07:51.677 PM, 4.0293
        19,   02/05/2021 01:07:51.679 PM, 4.0195
        20,   02/05/2021 01:07:51.681 PM, 4.0195
        21,   02/05/2021 01:07:51.683 PM, 4.0293
        22,   02/05/2021 01:07:51.685 PM, 4.0195
        23,   02/05/2021 01:07:51.687 PM, 4.0195
        24,   02/05/2021 01:07:51.689 PM, 4.0195
        25,   02/05/2021 01:07:51.691 PM, 4.0195
        26,   02/05/2021 01:07:51.693 PM, 4.0195
        27,   02/05/2021 01:07:51.695 PM, 4.0195
        28,   02/05/2021 01:07:51.697 PM, 4.0195
        29,   02/05/2021 01:07:51.699 PM, 4.0195
        30,   02/05/2021 01:07:51.701 PM, 4.0195
        31,   02/05/2021 01:07:51.703 PM, 4.0195
        32,   02/05/2021 01:07:51.705 PM, 4.0195
        33,   02/05/2021 01:07:51.707 PM, 4.0195
        34,   02/05/2021 01:07:51.709 PM, 4.0195
        35,   02/05/2021 01:07:51.711 PM, 4.0195
        36,   02/05/2021 01:07:51.713 PM, 4.0195
        37,   02/05/2021 01:07:51.715 PM, 4.0195
        38,   02/05/2021 01:07:51.717 PM, 4.0195
        39,   02/05/2021 01:07:51.719 PM, 4.0195
        40,   02/05/2021 01:07:51.721 PM, 4.0195
        41,   02/05/2021 01:07:51.723 PM, 4.0195
